cohort_id,First_Author,Publication_Title,nobs,Actual Mass Loss data in paper?
1,Abelho,Litter movement pathways across terrestrial-aquatic ecosystem boundaries affect litter colonization and decomposition in streams,5,yes
2,Abelho,Litter movement pathways across terrestrial-aquatic ecosystem boundaries affect litter colonization and decomposition in streams,5,yes
3,Abril,Heterogeneity in leaf litter decomposition in a temporary Mediterranean stream during flow fragmentation,5,yes
10,Agoston-Szabo,"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)",4,yes
13,Agoston-Szabo,"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)",4,yes
14,Agoston-Szabo,"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)",4,yes
15,Agoston-Szabo,"Mesh size and site effects on leaf litter decomposition in a side arm of the River Danube on the Gemenc floodplain (Danube-Drava National Park, Hungary)",4,yes
35,Au,Decomposition of Bauhinia purpurea leaf litter in a polluted and unpolluted Hong Kong waterway,7,yes
36,Au,Decomposition of Bauhinia purpurea leaf litter in a polluted and unpolluted Hong Kong waterway,6,yes
37,Au,Decomposition of Bauhinia purpurea leaf litter in a polluted and unpolluted Hong Kong waterway,7,yes
39,Barlocher,Incubation temperature and substrate quality modulate sporulation by aquatic hyphomycetes,7,yes
40,Barlocher,Incubation temperature and substrate quality modulate sporulation by aquatic hyphomycetes,5,yes
51,Benstead,Macroinvertebrates and the Processing of Leaf Litter in a Tropical Stream,6,yes
52,Biasi,The colonisation of leaf litter by Chironomidae (Diptera): The influence of chemical quality and exposure duration in a subtropical stream,5,yes
53,Biasi,The colonisation of leaf litter by Chironomidae (Diptera): The influence of chemical quality and exposure duration in a subtropical stream,5,yes
54,Cheever,The relative importance of exogenous and substrate-derived nitrogen for microbial growth during leaf decomposition,6,no
55,Cheever,The relative importance of exogenous and substrate-derived nitrogen for microbial growth during leaf decomposition,6,no
59,Claeson,Impacts of invasive riparian knotweed litter decomposition aquatic fungi and macroinvertebrates,4,yes
62,Claeson,Impacts of invasive riparian knotweed litter decomposition aquatic fungi and macroinvertebrates,4,yes
65,Claeson,Impacts of invasive riparian knotweed litter decomposition aquatic fungi and macroinvertebrates,4,yes
75,Dezzeo,Mass and nutrient loss of fresh plant biomass in a small black-water tributary of Caura river Venezuelan Guayana,10,yes
77,Driebe,Cottonwood hybridization affects tannin and nitrogen content of leaf litter and alters decomposition,4,yes
79,Driebe,Cottonwood hybridization affects tannin and nitrogen content of leaf litter and alters decomposition,4,yes
114,Ferreira,Eucalyptus plantations affect fungal communities associated with leaf-litter decomposition in Iberian streams,5,yes
115,Ferreira,Eucalyptus plantations affect fungal communities associated with leaf-litter decomposition in Iberian streams,6,yes
116,Ferreira,Eucalyptus plantations affect fungal communities associated with leaf-litter decomposition in Iberian streams,6,yes
117,Ferreira,Eucalyptus plantations affect fungal communities associated with leaf-litter decomposition in Iberian streams,6,yes
118,Ferreira,Eucalyptus plantations affect fungal communities associated with leaf-litter decomposition in Iberian streams,6,yes
119,Ferreira,Eucalyptus plantations affect fungal communities associated with leaf-litter decomposition in Iberian streams,6,yes
132,Ferreiro,Phosphorus enrichment affects immobilization but not litter decomposition or exoenzymatic activites in a Pampean stream,8,yes
133,Ferreiro,Phosphorus enrichment affects immobilization but not litter decomposition or exoenzymatic activites in a Pampean stream,8,yes
134,Fleituch,Ash tree leaf litter (Fraxinus excelsior L.) breakdown in two different biotopes and streams,5,yes
135,Fleituch,Ash tree leaf litter (Fraxinus excelsior L.) breakdown in two different biotopes and streams,5,yes
136,Fleituch,Ash tree leaf litter (Fraxinus excelsior L.) breakdown in two different biotopes and streams,5,yes
150,Gessner,Differences in processing dynamics of fresh and dried leaf litter in a stream ecosystem,8,yes
164,Grimmett,Tar-spot infection delays fungal colonization and decomposition of maple leaves,7,yes
165,Grimmett,Tar-spot infection delays fungal colonization and decomposition of maple leaves,7,yes
166,Grimmett,Tar-spot infection delays fungal colonization and decomposition of maple leaves,7,yes
