site,MAT_C,species,litter_type,topmesh_mm,years_deployed,afdm_remain_per
KBS,9.3,ACSA,litter,1,0,100
KBS,9.3,ACSA,litter,1,0.88,57.58
KBS,9.3,ACSA,litter,1,1.88,39.69
KBS,9.3,ACSA,litter,1,2.92,33.05
KBS,9.3,ACSA,litter,1,3.93,16.24
KBS,9.3,ACSA,litter,1,4.98,30.48
KBS,9.3,ACSA,litter,1,5.95,26.39
KBS,9.3,ACSA,litter,1,6.92,8.34
KBS,9.3,ACSA,litter,1,7.91,7.29
KBS,9.3,ACSA,litter,7,0,100
KBS,9.3,ACSA,litter,7,0.88,51.96
KBS,9.3,ACSA,litter,7,1.88,51.96
KBS,9.3,AMBR,litter,1,0,100
KBS,9.3,AMBR,litter,1,4.98,54.75
KBS,9.3,ANGE,root,0.1,0,100
KBS,9.3,ANGE,root,0.1,0.88,36.82
KBS,9.3,ANGE,root,0.1,1.88,19.73
KBS,9.3,ANGE,root,0.1,2.92,29.33
KBS,9.3,ANGE,root,0.1,3.93,31.5
KBS,9.3,ANGE,root,0.1,4.98,21.58
KBS,9.3,ANGE,root,0.1,5.95,16.01
KBS,9.3,ANGE,root,0.1,6.92,9.9
KBS,9.3,ANGE,root,0.1,7.91,5.51
KBS,9.3,ANSC,litter,1,0,100
KBS,9.3,ANSC,litter,1,5.95,16.76
KBS,9.3,BELU,litter,1,0,100
KBS,9.3,BELU,litter,1,6.92,16.91
KBS,9.3,CEGR,litter,1,0,100
KBS,9.3,CEGR,litter,1,7.91,13.2
KBS,9.3,DRGL,root,0.1,0,100
KBS,9.3,DRGL,root,0.1,0.88,60.63
KBS,9.3,DRGL,root,0.1,1.88,51.59
KBS,9.3,DRGL,root,0.1,2.92,37.66
KBS,9.3,DRGL,root,0.1,3.93,41.13
KBS,9.3,DRGL,root,0.1,4.98,52.81
KBS,9.3,DRGL,root,0.1,5.95,31.62
KBS,9.3,DRGL,root,0.1,6.92,23.36
KBS,9.3,DRGL,root,0.1,7.91,29.3
KBS,9.3,DRGL,root,0.1,8.91,37.41
KBS,9.3,DRGL,litter,1,0,100
KBS,9.3,DRGL,litter,1,0.88,45.16
KBS,9.3,DRGL,litter,1,1.88,48.51
KBS,9.3,DRGL,litter,1,2.92,17.72
KBS,9.3,DRGL,litter,1,3.93,4.35
KBS,9.3,DRGL,litter,1,4.98,1.11
KBS,9.3,DRGL,litter,1,5.95,12.18
KBS,9.3,DRGL,litter,1,6.92,5.19
KBS,9.3,PIEL,root,0.1,0,100
KBS,9.3,PIEL,root,0.1,0.88,57.82
KBS,9.3,PIEL,root,0.1,1.88,76.66
KBS,9.3,PIEL,root,0.1,2.92,68.55
KBS,9.3,PIEL,root,0.1,3.93,54.44
KBS,9.3,PIEL,root,0.1,4.98,62
KBS,9.3,PIEL,root,0.1,5.95,41.37
KBS,9.3,PIEL,root,0.1,6.92,29.07
KBS,9.3,PIEL,root,0.1,7.91,25.91
KBS,9.3,PIEL,litter,1,0,100
KBS,9.3,PIEL,litter,1,1.88,78.98
KBS,9.3,PIEL,litter,1,3.93,87.58
KBS,9.3,PIRE,litter,1,0,100
KBS,9.3,PIRE,litter,1,0.88,75.37
KBS,9.3,PIRE,litter,1,1.88,69.26
KBS,9.3,PIRE,litter,1,2.92,65.54
KBS,9.3,PIRE,litter,1,3.93,57.66
KBS,9.3,PIRE,litter,1,5.95,60.92
KBS,9.3,PIRE,litter,1,6.92,57.57
KBS,9.3,PIRE,litter,1,7.91,44.63
KBS,9.3,QUPR,litter,1,0,100
KBS,9.3,QUPR,litter,1,0.88,69.87
KBS,9.3,QUPR,litter,1,1.88,59.81
KBS,9.3,QUPR,litter,1,2.92,55.26
KBS,9.3,QUPR,litter,1,3.93,35.04
KBS,9.3,QUPR,litter,1,5.95,35.11
KBS,9.3,QUPR,litter,1,6.92,24.28
KBS,9.3,QUPR,litter,1,7.91,9.03
KBS,9.3,RHMA,litter,1,0,100
KBS,9.3,RHMA,litter,1,0.88,82.4
KBS,9.3,RHMA,litter,1,1.88,24.37
KBS,9.3,RHMA,litter,1,2.92,41.32
KBS,9.3,RHMA,litter,7,0,100
