First_Author,cohort_id,Publication_Title,Publication_Year,Journal,DOI,System,Q_L.s,Velocity_m.s,Flow_Category,Decay_Method,Mesh_Size_Category,Setting,Biome,Manipulation,LULC_Category,Light_Category,Detritus_Type,Detritus_Condition,Detritus_Species,Time_Series_ID,Meas_Day,Start_Year,Start_Month,Start_Day,Temperature_C,pH,Cond_uS.cm,DOC_mg.L,Water_SRP_ug.L,Water_TP_ug.L,Water_NO3_ug.L,Water_NH4_ug.L,Water_DIN_ug.L,Water_TN_ug.L,Mass_per_remaining,Initial_Mass_g,AFDM_DM_ratio,k,Remain_Mass_Category,Tannin_per,Total_Phenolics_per,Lignin_per,Cellulose_per,Hemicellulose_per,C_per,N_per,P_per,CN_ratio,CP_ratio,NP_ratio,Ergosterol_ug.g,Component_Mass_Category,Geog_Locale,Altitude_m,Latitude,Longitude,Sample_Size,LULC_Quantified,Inverts_AddInfo,Microbes_AddInfo,CNPFluxes_AddInfo,C_method,N_method,P_method,CNP_Ratio_Type,Notes,Mass_prop,log_mass_rem
Abelho,1,Litter movement pathways across terrestrial-aquatic ecosystem boundaries affect litter colonization and decomposition in streams,2019,Functional Ecology,10.1111/1365-2435.13356,stream,163,NA,riffle,litter_bag,5,field,Woodland/shrubland,NA,forest,shade,leaves,senesced,Alnus glutinosa,1,0,2011,11,2,10.7,7,NA,NA,94.7,NA,1740,62.5,1873.6,NA,100,2.8,NA,0.0566,afdm,NA,NA,NA,NA,NA,NA,2.36,NA,23.25,NA,NA,NA,afdm,"Ribeira do Boto, Coimbra, Portugal",80,40.31,-8.39,3,n,y,y,n,Combustion_IR spec,Kjeldahl-Bremmer,NA,NA,C:N ratios were measured but authors did not mention if it is in mass or molar. (Checking suplementary material uncertainty is still on air).  I extracted data using https://automeris.io/WebPlotDigitizer. Mixure species ratio 1:1.,1,4.605170185988092
Abelho,1,Litter movement pathways across terrestrial-aquatic ecosystem boundaries affect litter colonization and decomposition in streams,2019,Functional Ecology,10.1111/1365-2435.13356,stream,163,NA,riffle,litter_bag,5,field,Woodland/shrubland,NA,forest,shade,leaves,senesced,Alnus glutinosa,1,7,2011,11,2,10.7,7,NA,NA,94.7,NA,1740,62.5,1873.6,NA,77.73,2.8,NA,0.0566,afdm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,afdm,"Ribeira do Boto, Coimbra, Portugal",80,40.31,-8.39,3,n,y,y,n,Combustion_IR spec,Kjeldahl-Bremmer,NA,NA,NA,0.7773,4.353241283242128
Abelho,1,Litter movement pathways across terrestrial-aquatic ecosystem boundaries affect litter colonization and decomposition in streams,2019,Functional Ecology,10.1111/1365-2435.13356,stream,163,NA,riffle,litter_bag,5,field,Woodland/shrubland,NA,forest,shade,leaves,senesced,Alnus glutinosa,1,14,2011,11,2,10.7,7,NA,NA,94.7,NA,1740,62.5,1873.6,NA,70.1,2.8,NA,0.0566,afdm,NA,NA,NA,NA,NA,NA,3.61,NA,15.29,NA,NA,NA,afdm,"Ribeira do Boto, Coimbra, Portugal",80,40.31,-8.39,3,n,y,y,n,Combustion_IR spec,Kjeldahl-Bremmer,NA,NA,NA,0.701,4.249922794040544
Abelho,1,Litter movement pathways across terrestrial-aquatic ecosystem boundaries affect litter colonization and decomposition in streams,2019,Functional Ecology,10.1111/1365-2435.13356,stream,163,NA,riffle,litter_bag,5,field,Woodland/shrubland,NA,forest,shade,leaves,senesced,Alnus glutinosa,1,28,2011,11,2,10.7,7,NA,NA,94.7,NA,1740,62.5,1873.6,NA,30.66,2.8,NA,0.0566,afdm,NA,NA,NA,NA,NA,NA,3.56,NA,13.4,NA,NA,NA,afdm,"Ribeira do Boto, Coimbra, Portugal",80,40.31,-8.39,3,n,y,y,n,Combustion_IR spec,Kjeldahl-Bremmer,NA,NA,NA,0.3066,3.422958873443668
Abelho,1,Litter movement pathways across terrestrial-aquatic ecosystem boundaries affect litter colonization and decomposition in streams,2019,Functional Ecology,10.1111/1365-2435.13356,stream,163,NA,riffle,litter_bag,5,field,Woodland/shrubland,NA,forest,shade,leaves,senesced,Alnus glutinosa,1,56,2011,11,2,10.7,7,NA,NA,94.7,NA,1740,62.5,1873.6,NA,6.57,2.8,NA,0.0566,afdm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,afdm,"Ribeira do Boto, Coimbra, Portugal",80,40.31,-8.39,3,n,y,y,n,Combustion_IR spec,Kjeldahl-Bremmer,NA,NA,NA,0.06570000000000001,1.8825138324965192
Abelho,2,Litter movement pathways across terrestrial-aquatic ecosystem boundaries affect litter colonization and decomposition in streams,2019,Functional Ecology,10.1111/1365-2435.13356,stream,163,NA,riffle,litter_bag,5,field,Woodland/shrubland,NA,forest,shade,leaves,senesced,Populus canadensis,2,0,2011,11,2,10.7,7,NA,NA,94.7,NA,1740,62.5,1873.6,NA,100,2.8,NA,0.0234,afdm,NA,NA,NA,NA,NA,NA,0.7,NA,67.28,NA,NA,NA,afdm,"Ribeira do Boto, Coimbra, Portugal",80,40.31,-8.39,3,n,y,y,n,Combustion_IR spec,Kjeldahl-Bremmer,NA,NA,NA,1,4.605170185988092
Abelho,2,Litter movement pathways across terrestrial-aquatic ecosystem boundaries affect litter colonization and decomposition in streams,2019,Functional Ecology,10.1111/1365-2435.13356,stream,163,NA,riffle,litter_bag,5,field,Woodland/shrubland,NA,forest,shade,leaves,senesced,Populus canadensis,2,7,2011,11,2,10.7,7,NA,NA,94.7,NA,1740,62.5,1873.6,NA,72.03,2.8,NA,0.0234,afdm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,afdm,"Ribeira do Boto, Coimbra, Portugal",80,40.31,-8.39,3,n,y,y,n,Combustion_IR spec,Kjeldahl-Bremmer,NA,NA,NA,0.7203,4.277082698901271
Abelho,2,Litter movement pathways across terrestrial-aquatic ecosystem boundaries affect litter colonization and decomposition in streams,2019,Functional Ecology,10.1111/1365-2435.13356,stream,163,NA,riffle,litter_bag,5,field,Woodland/shrubland,NA,forest,shade,leaves,senesced,Populus canadensis,2,14,2011,11,2,10.7,7,NA,NA,94.7,NA,1740,62.5,1873.6,NA,63.64,2.8,NA,0.0234,afdm,NA,NA,NA,NA,NA,NA,1.25,NA,38.73,NA,NA,NA,afdm,"Ribeira do Boto, Coimbra, Portugal",80,40.31,-8.39,3,n,y,y,n,Combustion_IR spec,Kjeldahl-Bremmer,NA,NA,NA,0.6364,4.153242203469586
Abelho,2,Litter movement pathways across terrestrial-aquatic ecosystem boundaries affect litter colonization and decomposition in streams,2019,Functional Ecology,10.1111/1365-2435.13356,stream,163,NA,riffle,litter_bag,5,field,Woodland/shrubland,NA,forest,shade,leaves,senesced,Populus canadensis,2,28,2011,11,2,10.7,7,NA,NA,94.7,NA,1740,62.5,1873.6,NA,53.84,2.8,NA,0.0234,afdm,NA,NA,NA,NA,NA,NA,1.48,NA,33.59,NA,NA,NA,afdm,"Ribeira do Boto, Coimbra, Portugal",80,40.31,-8.39,3,n,y,y,n,Combustion_IR spec,Kjeldahl-Bremmer,NA,NA,NA,0.5384,3.9860166853364722
Abelho,2,Litter movement pathways across terrestrial-aquatic ecosystem boundaries affect litter colonization and decomposition in streams,2019,Functional Ecology,10.1111/1365-2435.13356,stream,163,NA,riffle,litter_bag,5,field,Woodland/shrubland,NA,forest,shade,leaves,senesced,Populus canadensis,2,56,2011,11,2,10.7,7,NA,NA,94.7,NA,1740,62.5,1873.6,NA,24.48,2.8,NA,0.0234,afdm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,afdm,"Ribeira do Boto, Coimbra, Portugal",80,40.31,-8.39,3,n,y,y,n,Combustion_IR spec,Kjeldahl-Bremmer,NA,NA,NA,0.24480000000000002,3.1978564576441255
