First_Author,Publication_Title,Publication_Year,Journal,DOI,System,Q_L.s,Velocity_m.s,Flow_Category,Decay_Method,Mesh_Size_Category,Setting,Biome,Manipulation,LULC_Category,Light_Category,Detritus_Type,Detritus_Condition,Detritus_Species,Time_Series_ID,Meas_Day,Start_Year,Start_Month,Start_Day,Temperature_C,pH,Cond_uS.cm,DOC_mg.L,Water_SRP_ug.L,Water_TP_ug.L,Water_NO3_ug.L,Water_NH4_ug.L,Water_DIN_ug.L,Water_TN_ug.L,Mass_per_remaining,Initial_Mass_g,AFDM_DM_ratio,k,Remain_Mass_Category,Tannin_per,Total_Phenolics_per,Lignin_per,Cellulose_per,Hemicellulose_per,C_per,N_per,P_per,CN_ratio,CP_ratio,NP_ratio,Ergosterol_ug.g,Component_Mass_Category,Geog_Locale,Altitude_m,Latitude,Longitude,Sample_Size,LULC_Quantified,Inverts_AddInfo,Microbes_AddInfo,CNPFluxes_AddInfo,C_method,N_method,P_method,CNP_Ratio_Type,Notes
Abelho,Litter movement pathways across terrestrial-aquatic ecosystem boundaries affect litter colonization and decomposition in streams,2019,Functional Ecology,10.1111/1365-2435.13356,stream,163,NA,riffle,litter_bag,5,field,Woodland/shrubland,NA,forest,shade,leaves,senesced,Alnus glutinosa,1,0,2011,11,2,10.7,7,NA,NA,94.7,NA,1740,62.5,1873.6,NA,100,2.8,NA,0.0566,afdm,NA,NA,NA,NA,NA,NA,2.36,NA,23.25,NA,NA,NA,afdm,"Ribeira do Boto, Coimbra, Portugal",80,40.31,-8.39,3,n,y,y,n,Combustion_IR spec,Kjeldahl-Bremmer,NA,NA,C:N ratios were measured but authors did not mention if it is in mass or molar. (Checking suplementary material uncertainty is still on air).  I extracted data using https://automeris.io/WebPlotDigitizer. Mixure species ratio 1:1.
Abelho,Litter movement pathways across terrestrial-aquatic ecosystem boundaries affect litter colonization and decomposition in streams,2019,Functional Ecology,10.1111/1365-2435.13356,stream,163,NA,riffle,litter_bag,5,field,Woodland/shrubland,NA,forest,shade,leaves,senesced,Alnus glutinosa,1,7,2011,11,2,10.7,7,NA,NA,94.7,NA,1740,62.5,1873.6,NA,77.73,2.8,NA,0.0566,afdm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,afdm,"Ribeira do Boto, Coimbra, Portugal",80,40.31,-8.39,3,n,y,y,n,Combustion_IR spec,Kjeldahl-Bremmer,NA,NA,NA
Abelho,Litter movement pathways across terrestrial-aquatic ecosystem boundaries affect litter colonization and decomposition in streams,2019,Functional Ecology,10.1111/1365-2435.13356,stream,163,NA,riffle,litter_bag,5,field,Woodland/shrubland,NA,forest,shade,leaves,senesced,Alnus glutinosa,1,14,2011,11,2,10.7,7,NA,NA,94.7,NA,1740,62.5,1873.6,NA,70.1,2.8,NA,0.0566,afdm,NA,NA,NA,NA,NA,NA,3.61,NA,15.29,NA,NA,NA,afdm,"Ribeira do Boto, Coimbra, Portugal",80,40.31,-8.39,3,n,y,y,n,Combustion_IR spec,Kjeldahl-Bremmer,NA,NA,NA
Abelho,Litter movement pathways across terrestrial-aquatic ecosystem boundaries affect litter colonization and decomposition in streams,2019,Functional Ecology,10.1111/1365-2435.13356,stream,163,NA,riffle,litter_bag,5,field,Woodland/shrubland,NA,forest,shade,leaves,senesced,Alnus glutinosa,1,28,2011,11,2,10.7,7,NA,NA,94.7,NA,1740,62.5,1873.6,NA,30.66,2.8,NA,0.0566,afdm,NA,NA,NA,NA,NA,NA,3.56,NA,13.4,NA,NA,NA,afdm,"Ribeira do Boto, Coimbra, Portugal",80,40.31,-8.39,3,n,y,y,n,Combustion_IR spec,Kjeldahl-Bremmer,NA,NA,NA
Abelho,Litter movement pathways across terrestrial-aquatic ecosystem boundaries affect litter colonization and decomposition in streams,2019,Functional Ecology,10.1111/1365-2435.13356,stream,163,NA,riffle,litter_bag,5,field,Woodland/shrubland,NA,forest,shade,leaves,senesced,Alnus glutinosa,1,56,2011,11,2,10.7,7,NA,NA,94.7,NA,1740,62.5,1873.6,NA,6.57,2.8,NA,0.0566,afdm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,afdm,"Ribeira do Boto, Coimbra, Portugal",80,40.31,-8.39,3,n,y,y,n,Combustion_IR spec,Kjeldahl-Bremmer,NA,NA,NA
Abelho,Litter movement pathways across terrestrial-aquatic ecosystem boundaries affect litter colonization and decomposition in streams,2019,Functional Ecology,10.1111/1365-2435.13356,stream,163,NA,riffle,litter_bag,5,field,Woodland/shrubland,NA,forest,shade,leaves,senesced,Populus canadensis,2,0,2011,11,2,10.7,7,NA,NA,94.7,NA,1740,62.5,1873.6,NA,100,2.8,NA,0.0234,afdm,NA,NA,NA,NA,NA,NA,0.7,NA,67.28,NA,NA,NA,afdm,"Ribeira do Boto, Coimbra, Portugal",80,40.31,-8.39,3,n,y,y,n,Combustion_IR spec,Kjeldahl-Bremmer,NA,NA,NA
Abelho,Litter movement pathways across terrestrial-aquatic ecosystem boundaries affect litter colonization and decomposition in streams,2019,Functional Ecology,10.1111/1365-2435.13356,stream,163,NA,riffle,litter_bag,5,field,Woodland/shrubland,NA,forest,shade,leaves,senesced,Populus canadensis,2,7,2011,11,2,10.7,7,NA,NA,94.7,NA,1740,62.5,1873.6,NA,72.03,2.8,NA,0.0234,afdm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,afdm,"Ribeira do Boto, Coimbra, Portugal",80,40.31,-8.39,3,n,y,y,n,Combustion_IR spec,Kjeldahl-Bremmer,NA,NA,NA
Abelho,Litter movement pathways across terrestrial-aquatic ecosystem boundaries affect litter colonization and decomposition in streams,2019,Functional Ecology,10.1111/1365-2435.13356,stream,163,NA,riffle,litter_bag,5,field,Woodland/shrubland,NA,forest,shade,leaves,senesced,Populus canadensis,2,14,2011,11,2,10.7,7,NA,NA,94.7,NA,1740,62.5,1873.6,NA,63.64,2.8,NA,0.0234,afdm,NA,NA,NA,NA,NA,NA,1.25,NA,38.73,NA,NA,NA,afdm,"Ribeira do Boto, Coimbra, Portugal",80,40.31,-8.39,3,n,y,y,n,Combustion_IR spec,Kjeldahl-Bremmer,NA,NA,NA
Abelho,Litter movement pathways across terrestrial-aquatic ecosystem boundaries affect litter colonization and decomposition in streams,2019,Functional Ecology,10.1111/1365-2435.13356,stream,163,NA,riffle,litter_bag,5,field,Woodland/shrubland,NA,forest,shade,leaves,senesced,Populus canadensis,2,28,2011,11,2,10.7,7,NA,NA,94.7,NA,1740,62.5,1873.6,NA,53.84,2.8,NA,0.0234,afdm,NA,NA,NA,NA,NA,NA,1.48,NA,33.59,NA,NA,NA,afdm,"Ribeira do Boto, Coimbra, Portugal",80,40.31,-8.39,3,n,y,y,n,Combustion_IR spec,Kjeldahl-Bremmer,NA,NA,NA
Abelho,Litter movement pathways across terrestrial-aquatic ecosystem boundaries affect litter colonization and decomposition in streams,2019,Functional Ecology,10.1111/1365-2435.13356,stream,163,NA,riffle,litter_bag,5,field,Woodland/shrubland,NA,forest,shade,leaves,senesced,Populus canadensis,2,56,2011,11,2,10.7,7,NA,NA,94.7,NA,1740,62.5,1873.6,NA,24.48,2.8,NA,0.0234,afdm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,afdm,"Ribeira do Boto, Coimbra, Portugal",80,40.31,-8.39,3,n,y,y,n,Combustion_IR spec,Kjeldahl-Bremmer,NA,NA,NA
Abril,Heterogeneity in leaf litter decomposition in a temporary Mediterranean stream during flow fragmentation,2016,Science of the Total Environment,10.1016/j.scitotenv.2016.02.082,stream,30,0.04,riffle,litter_bag,5,field,Temperate forest,NA,forest,shade,leaves,senesced,Populus nigra,1,0,2013,8,29,16,7.6,718,0.8,30,NA,6600,10,6810,NA,100,3.27,NA,0.053,afdm,NA,NA,NA,NA,NA,NA,NA,NA,108.9,NA,NA,NA,afdm,"Fluvia River, Catalonia, Spain",NA,42.14,2.45,3,y,y,y,y,ea,ea,NA,molar,Average daily air temperature 23 C (min. 11 C - max. 29 C). Accumulated precipitation 17.3mm. Chemetry analysis n = 1 (at 8 days after leaf litter immersion). Ergosterol measured for all samples but data is not extractable.
Abril,Heterogeneity in leaf litter decomposition in a temporary Mediterranean stream during flow fragmentation,2016,Science of the Total Environment,10.1016/j.scitotenv.2016.02.082,stream,30,0.04,riffle,litter_bag,5,field,Temperate forest,NA,forest,shade,leaves,senesced,Populus nigra,1,1,2013,8,29,16,7.6,718,0.8,30,NA,6600,10,6810,NA,72.35,3.27,NA,0.053,afdm,NA,NA,NA,NA,NA,NA,NA,NA,76.6,NA,NA,NA,afdm,"Fluvia River, Catalonia, Spain",NA,42.14,2.45,3,y,y,y,y,ea,ea,NA,molar,NA
